clase,descripcion
1,acondicionadores [productos químicos] para el agua de acuarios
1,adhesivos de silicón para uso industrial
1,adhesivos industriales para el cemento
1,aditivo químico para evitar la oxidación de alimentos
1,aditivos químicos estabilizadores de luz utilizados en la industria del plástico.
1,aditivos químicos para el cemento
1,antigerminativas (preparaciones -) para hortalizas
1,bactericidas usados en procesos de fabricación
1,búlgaros que no sean para uso médico ni veterinario
1,correctivos para el agua de acuarios [productos químicos]
1,detergentes (aditivos químicos -) para ser usado en motores de aceite
1,"diluyente para semen animal para investigación científica no de uso médico ni
veterinario"
1,enmiendas orgánicas [fertilizantes]
1,espuma fenólica para enfriar productos no para uso medico
1,estabilizadores químicos usados en procesos de fabricación de alimentos
1,fermentos lácticos para uso químico
1,"fluido impermeable para parabrisas, no detergentes"
1,fluidos químicos para pozos petroleros
1,fórmulas probióticas usadas en procesos de manufactura
1,gas refrigerante
1,geles químicos humectantes para uso en cultivo de plantas
1,"genes de microorganismos no para uso médico ni veterinario para el
tratamiento de agua"
1,humedad (bolsitas de gránulos para absorber la -)
1,inoculantes para uso industrial
1,lactobacilos que no sean para uso médico o veterinario
1,microorganismos no para uso médico ni veterinario para el tratamiento de agua
1,nanorevestimientos impermeables
1,"paños impregnados con preparaciones químicas para prevenir el empañado de
cristales de vehículos"
1,poliestireno en bruto [materia prima]
1,polímero de cactáceas para la agricultura [abono para el suelo]
1,polvos de polímeros [plásticos en bruto]
1,químicas (preparaciones -) de revestimiento hidrorepelente para vehículos
1,"químicas (preparaciones -) selladoras para ponchaduras de llantas
[neumáticos]"
1,químicos (productos -) para la protección de pantallas
1,químicos para conservar el sabor de las harinas
1,reactivos de pigmentación para uso de laboratorio científico
1,reactivos de prueba para el agua de acuarios
1,silicón para uso industrial
10,abatelengua para uso médico [depresores de lengua]
10,abrazaderas para uso medico
10,bolsa térmica médica para calentar el cuerpo
10,bolsas desechables especialmente adaptadas para biberones
10,cintas kinesiológicas elásticas adhesivas para uso médico
10,contenedor para recolectar muestras orgánicas de uso médico
10,copas acetabulares [implantes ortopédicos]
10,cubrebocas para uso médico
10,dispositivo para diagnosticar el embarazo
10,electrocauterización [instrumentos médicos]
10,electroquirúrgicos [instrumentos médicos]
10,endoscopios [instrumentos médicos]
10,engrapadoras de uso quirúrgico
10,escariador quirúrgico
10,eyectores dentales
10,filtro nasal para uso médico
10,gogles para uso médico
10,gorros quirúrgicos
10,grapadoras quirúrgicas
10,guías indicadoras de colores para dientes
10,huesos artificiales para implantes médicos
10,laparoscopio [instrumentos médicos]
10,medias postparto
10,medidores de presión arterial [baumanómetro]
10,mentoneras de uso médico
10,pañuelos para cirugía
10,polipasto de uso médico
10,recipientes esterilizados para contener instrumentos quirúrgicos
10,sustitutos óseos [implantes]
10,vendas kinesiológicas
10,viales [frasco de uso médico]
10,videocámaras para cirugía
11,antorchas de patio
11,aparato clarificador para albercas
11,aparatos de destilación al vacío para uso industrial
11,aparatos eléctricos para la distribución de aromatizantes de ambiente
11,asientos de inodoro para infantes
11,bolsa refrescante no médica para enfriar el cuerpo
11,bolsa térmica no médica para calentar el cuerpo
11,bolsas esterilizadoras de uso médico
11,bombillas de luz led
11,cabinas para el bronceado
11,calentadores eléctricos [que no sean partes de máquinas]
11,calentadores para mangas de protección de empalmes de fibra óptica
11,calientacamas eléctricos
11,calientacamas no eléctricos
11,cámaras de lixiviación
11,canastillas [contracanasta]
11,canastillas para lavabos [contracanasta]
11,carrito-parrilla para la elaboración de hotdogs
11,cavas eléctricas para vinos
11,colectores solares para aparatos de calefacción
11,contenedores esterilizadores de instrumentos
11,contracanastas metálicas para fregaderos
11,contracanastas para lavabos
11,cubiertas para fregaderos [tarjas]
11,cupcakera
11,despachadores eléctricos de aire caliente para hacer palomitas de maíz
11,difusor eléctrico de esencias
